Latitude,Longitude,Community Areas,Area(unit)
41.9389502,-87.64410090000001,Lake View,76561177.2562
41.9074189,-87.6512469,River North,38766442.5194
41.824991,-87.70916899999999,Brighton Park,75892790.3114
41.918976,-87.69313299999999,Logan Square,71256806.5518
41.900208,-87.6946223,Humboldt Park,125010425.593
41.737590600000004,-87.5745,Avalon Park,34852737.7366
41.7370189,-87.5722353,Calumet Heights,48826241.5643
41.7875299,-87.720381,West Elsdon,32711091.4259
41.7839669,-87.7278089,West Lawn,82315301.6831
41.7690054,-87.65909070000001,Englewood,173600015.009
41.7344345,-87.55750069999999,South Chicago,93272185.0092
41.968697999999996,-87.711292,Albany Park,53542230.819
41.968098,-87.717254,Albany Park,53542230.819
41.780454399999996,-87.77695209999999,Clearing,71145192.3827
41.79021420000001,-87.7790243,Garfield Ridge,117890778.429
41.776427399999996,-87.6270988,Grand Crossing,98853167.7093
41.8991958,-87.6406468,River North,38766442.5194
41.8971534,-87.6405566,River North,38766442.5194
41.8980798,-87.6411937,River North,38766442.5194
41.9000387,-87.64070759999998,River North,38766442.5194
41.8995633,-87.6412666,River North,38766442.5194
41.841925,-87.6266507,Douglas,46004621.137
41.838224,-87.6289705,Douglas,46004621.137
41.841825299999996,-87.62886929999999,Douglas,46004621.137
41.8781136,-87.62979820000001,Loop,31485185.0318
41.8978823,-87.641789,River North,38766442.5194
41.856959100000005,-87.7297848,North Lawndale,89487422.0244
41.8820364,-87.6939491,Garfield Park,89976069.5947
41.9035255,-87.7287903,Humboldt Park,125010425.593
41.9023666,-87.7215688,Humboldt Park,125010425.593
41.886666999999996,-87.722084,Garfield Park,89976069.5947
41.901067,-87.716148,Humboldt Park,125010425.593
41.8938506,-87.7201297,Humboldt Park,125010425.593
41.8810745,-87.695787,Garfield Park,89976069.5947
41.878721,-87.67931159999999,United Center,32520512.7053
41.7032205,-87.6708225,Beverly,88779363.9384
41.688413,-87.669071,Morgan Park,91877340.6988
41.87781079999999,-87.75510440000001,Austin,170037750.826
41.7825159,-87.5947129,Woodlawn,40515739.083
41.8096377,-87.613824,Grand Boulevard,48492503.1554
41.7445116,-87.56002120000001,South Chicago,93272185.0092
41.7809979,-87.69918299999999,Chicago Lawn,98279465.1151
41.968313099999996,-87.7205176,Albany Park,53542230.819
42.005395,-87.66996309999999,Rogers Park,51259902.4506
41.9692739,-87.6578645,Uptown,65095642.836
41.7792258,-87.6848868,Chicago Lawn,98279465.1151
41.754176,-87.58994399999999,Avalon Park,34852737.7366
41.9084425,-87.6912748,Wicker Park,26853193.0926
41.873798,-87.7615613,Austin,170037750.826
41.7658781,-87.57681290000001,South Shore,81812716.3904
41.767713,-87.58329590000001,South Shore,81812716.3904
41.9066159,-87.6396904,Old Town,19847998.9611
41.82383,-87.694276,Brighton Park,75892790.3114
41.8310295,-87.61930859999998,Douglas,46004621.137
41.818608399999995,-87.6945025,Brighton Park,75892790.3114
41.81185,-87.69028399999999,Brighton Park,75892790.3114
41.882858,-87.6987886,Garfield Park,89976069.5947
41.7751278,-87.7227627,West Lawn,82315301.6831
41.7808562,-87.60486920000001,Woodlawn,40515739.083
41.7904419,-87.726138,West Elsdon,32711091.4259
41.7692299,-87.6202274,Grand Crossing,98853167.7093
41.9728166,-87.727724,Albany Park,53542230.819
41.966046,-87.70164399999999,Albany Park,53542230.819
41.8578617,-87.661305,Lower West Side,81550723.8231
41.8856502,-87.7552689,Austin,170037750.826
41.8856141,-87.7577103,Austin,170037750.826
41.884179700000004,-87.7552337,Austin,170037750.826
41.7057678,-87.65991559999999,Beverly,88779363.9384
41.7072838,-87.6598291,Beverly,88779363.9384
41.7284143,-87.6680407,Beverly,88779363.9384
41.871787,-87.688458,"Little Italy, UIC",71376244.1225
41.7813067,-87.66180899999999,Englewood,173600015.009
42.01794879999999,-87.6830032,Rogers Park,51259902.4506
42.0211592,-87.67001570000001,Rogers Park,51259902.4506
41.7124261,-87.63810190000001,Washington Heights,79635752.8769
41.6825815,-87.61672740000002,West Pullman,99365198.0822
41.697946,-87.621703,Roseland,134313706.73
41.7004315,-87.61961550000001,Roseland,134313706.73
41.651638,-87.616864,Riverdale,98389497.4143
41.700559000000005,-87.6073608,Pullman,59001555.602
41.723439899999995,-87.606544,Chatham,82320670.3112
41.70733,-87.6113127,Roseland,134313706.73
41.6924575,-87.6184769,Roseland,134313706.73
41.67814620000001,-87.61543490000001,West Pullman,99365198.0822
41.7069468,-87.6198468,Roseland,134313706.73
41.692400899999996,-87.621378,Roseland,134313706.73
41.703376,-87.620345,Roseland,134313706.73
41.691085,-87.6121325,Roseland,134313706.73
41.8781136,-87.62979820000001,Loop,31485185.0318
41.8992592,-87.69678409999999,Humboldt Park,125010425.593
41.856013,-87.657256,Lower West Side,81550723.8231
41.858828,-87.6611099,Lower West Side,81550723.8231
41.9654777,-87.6547923,Uptown,65095642.836
41.764695399999994,-87.6843817,Chicago Lawn,98279465.1151
41.8874305,-87.7137166,Garfield Park,89976069.5947
41.8762244,-87.72320649999999,Garfield Park,89976069.5947
41.876754,-87.730199,Garfield Park,89976069.5947
41.864616,-87.694229,North Lawndale,89487422.0244
41.88494,-87.728482,Garfield Park,89976069.5947
41.8772105,-87.753454,Austin,170037750.826
41.9150838,-87.7301307,Hermosa,32602059.4055
41.817394,-87.60670520000001,Oakland,16913961.0408
41.85399,-87.69785,Little Village,127998297.819
41.8993491,-87.6918628,Ukrainian Village,10622385.5776
41.7846658,-87.79618509999999,Clearing,71145192.3827
41.8038896,-87.7482712,Garfield Ridge,117890778.429
41.798134000000005,-87.76036490000001,Garfield Ridge,117890778.429
41.77517,-87.761949,Clearing,71145192.3827
41.781116,-87.787137,Clearing,71145192.3827
41.888520899999996,-87.7504403,Austin,170037750.826
41.8922563,-87.7479795,Austin,170037750.826
41.8886468,-87.7478353,Austin,170037750.826
41.9551931,-87.75196559999999,Portage Park,110196097.139
41.8589711,-87.71395509999999,North Lawndale,89487422.0244
41.9174087,-87.72289,Logan Square,71256806.5518
41.917356,-87.72925699999999,Hermosa,32602059.4055
41.910140000000006,-87.731374,Humboldt Park,125010425.593
41.9320684,-87.7234095,Avondale,55290595.482
41.699009999999994,-87.544128,East Side,83241728.0493
41.7298511,-87.5458195,South Chicago,93272185.0092
41.7062594,-87.537374,East Side,83241728.0493
41.777237899999996,-87.742636,Clearing,71145192.3827
41.764121100000004,-87.71992309999999,West Lawn,82315301.6831
41.7760141,-87.75247370000001,Clearing,71145192.3827
41.787740500000005,-87.7327829,West Elsdon,32711091.4259
41.856974,-87.6786,Lower West Side,81550723.8231
41.8551704,-87.66126740000001,Lower West Side,81550723.8231
41.8502423,-87.68312979999999,Lower West Side,81550723.8231
41.8473553,-87.6813132,Lower West Side,81550723.8231
41.851566,-87.673547,Lower West Side,81550723.8231
41.8689997,-87.6848559,"Little Italy, UIC",71376244.1225
41.856883,-87.659192,Lower West Side,81550723.8231
41.877052,-87.745425,Austin,170037750.826
41.8527126,-87.6355557,Chinatown,10624727.4605
41.848834100000005,-87.6366065,Chinatown,10624727.4605
41.8521813,-87.676489,Lower West Side,81550723.8231
41.893733000000005,-87.75958299999999,Austin,170037750.826
41.883342600000006,-87.7281998,Garfield Park,89976069.5947
41.868142,-87.696269,North Lawndale,89487422.0244
41.991701899999995,-87.67222,Edgewater,38865397.6718
41.864707,-87.684598,"Little Italy, UIC",71376244.1225
41.901278999999995,-87.7253829,Humboldt Park,125010425.593
41.850382,-87.692776,Little Village,127998297.819
41.8971186,-87.71755309999999,Humboldt Park,125010425.593
41.8870294,-87.6989225,Garfield Park,89976069.5947
41.8974155,-87.7258927,Humboldt Park,125010425.593
41.88426810000001,-87.6673929,United Center,32520512.7053
41.918081799999996,-87.65576690000002,Lincoln Park,67401451.3717
41.920035399999996,-87.64471529999999,Lincoln Park,67401451.3717
41.9071805,-87.63493869999999,Old Town,19847998.9611
41.992731899999995,-87.674428,Edgewater,38865397.6718
41.9857429,-87.71142009999998,North Park,70288706.4343
41.965523,-87.661428,Uptown,65095642.836
41.882707,-87.748982,Austin,170037750.826
